BICAN Field Name,BICAN UUID,Aliases,Definition,Dev. Human,Dev. NHP,Dev. Tissue,Donor,Library,Macaque Donor and Tissue,Marmoset,Donor-to-Alignment
developmental,c259cdc2-7c68-48de-ab57-57328f3bddfa,developmental,The type of developmental disorder or disease of a donor.,,,,x,,,,
developmental_type_specify,bee7d477-2dec-4bf5-878e-a105a0054366,developmental_type_specify,The specific type of developmental disorder or disease of a donor.,,,,x,,,,
inflammatory,05e83583-078d-4a1e-892d-e6f611e5a0b8,inflammatory,The type of inflammatory disorder or disease of a donor.,,,,x,,,,
inflammatory_type_specify,616ba8d8-ced3-4f3e-b1ca-7103eb7a2c94,inflammatory_type_specify,The specific type of inflammatory disorder or disease of a donor.,,,,x,,,,
infectious,266f5fb8-716b-4472-be30-4a94b62f2245,infectious,The type of infectious disease of a donor.,,,,x,,,,
infectious_type_specify,c73cea5e-44d1-4dd9-b55e-3c6ef5dd2ef2,infectious_type_specify,The specific type of infectious disease of a donor.,,,,x,,,,
traumatic,a00497c0-376f-4b2e-b60e-d6add2af41dc,traumatic,The trauma of a donor.,,,,x,,,,
traumatic_type,01d2f488-f30b-40e0-913f-c9adc6b39b97,traumatic_type,The type of trauma of a donor.,,,,x,,,,
traumatic_type_specify,aa574a9a-a3d0-4a07-bf8b-9db4a1110a88,traumatic_type_specify,The specific type of trauma of a donor.,,,,x,,,,
vascular,b02d8386-d059-42a8-94cb-751d56b15b3a,vascular,The vascular disease of a donor.,,,,x,,,,
vascular_type,5beafa90-ffdb-4cce-a78c-a3b3175210b6,vascular_type,The type of vascular disease of a donor.,,,,x,,,,
vascular_type_specify,543acbbb-9da4-4e24-a9d7-c0642aa33f32,vascular_type_specify,The specific type of vascular disease of a donor.,,,,x,,,,
neoplastic,3f52a0e9-6469-46d3-8ed5-3cdb8afdc259,neoplastic,The neoplastic status of a donor.,,,,x,,,,
neoplastic_type,a58be8f4-2756-4a66-9d05-1fbf44b4e810,neoplastic_type,The type of neoplastic status of a donor.,,,,x,,,,
neoplastic_type_specify,b9e8aead-fdf3-453e-a46b-fcb01d661f8f,neoplastic_type_specify,The specific type of neoplastic status of a donor.,,,,x,,,,
aging,40e3caa7-657b-4137-9879-07e6b29bae14,aging,"A developmental process that is a deterioration and loss of function over time. Aging includes loss of functions such as resistance to disease, homeostasis, and fertility, as well as wear and tear. Aging includes cellular senescence, but is more inclusive. May precede death and may succeed developmental maturation.",,,,x,,,,
aging_type,5e31b66f-131e-4d5e-8760-ddd85f5634d5,aging_type,The type of aging of a donor.,,,,x,,,,
aging_type_specify,8667d972-175c-430a-ac5e-656563e75736,aging_type_specify,The specific type of aging of a donor.,,,,x,,,,
neurodegenerative,764d80ce-7a83-4e68-92df-34a416475e1b,neurodegenerative,A disorder of the central nervous system characterized by gradual and progressive loss of neural tissue and neurologic function.,,,,x,,,,
neurodegenerative_type,b150b62c-a968-4f5d-9aa3-d1ab5207ff83,neurodegenerative_type,The type of neurodegenerative disorder of a donor.,,,,x,,,,
neurodegenerative_type_specify,d422d827-539f-4d10-b09d-0f4be00d7c91,neurodegenerative_type_specify,The specific type of neurodegenerative disorder of a donor.,,,,x,,,,
tissue sample label,2e4ca2fc-2d77-4d19-af45-d0fb7bbc2269,tissue name|tissue sample label,Identifier name for final intact piece of tissue before cell or nuclei prep.  This piece of tissue will be used in dissociation and has an ROI associated with it.,,,,,x,,,
amplified cDNA label,e2606a11-114e-472f-9e05-33f9b6fc3089,amplified cdna name,"Name of a collection of cDNA molecules derived and amplified from an input barcoded_cell_sample.  These cDNA molecules represent the gene expression of each cell, with all cDNA molecules from a given cell retaining that cell's unique barcode from the cell barcoding step.  This is a necessary step for GEX methods but is not used for ATAC methods.",,,,,x,,,
amplified cDNA amplified quantity ng,0db79d05-8612-4896-b9d3-eb1558841449,amplified quantity ng,Amount of cDNA produced after cDNA amplification measured in nanograms.,,,,,x,,,
amplified cDNA PCR cycles,3827634c-3f8f-4760-b358-86ce4b030238,cDNA amplification cycles,Number of PCR cycles used during cDNA amplification for this cDNA.,,,,,x,,,
cDNA amplification process date,6cc333e7-9b98-497f-b7b1-eae904db2400,cDNA amplification date,Date of cDNA amplification.,,,,,x,,,
amplified cDNA RNA amplification pass-fail,bc62bdb2-7dc8-4404-bb84-ce0bbcae59e5,cDNA amplification pass-fail result,Pass or Fail result based on qualitative assessment of cDNA yield and size.,,,,,x,,,
amplified cDNA percent cDNA longer than 400bp,8d150467-f69e-461c-b54c-bcfd22f581e5,cDNA amplification percent cDNA greater than 400bp,QC metric to measure mRNA degradation of cDNA.  Higher % is higher quality starting material.  Over 400bp is used as a universal cutoff for intact (full length) vs degraded cDNA and is a common output from Bioanalyzer and Fragment Analyzer elecropheragrams.,,,,,x,,,
cDNA amplification set,42e98a88-50b3-4ea2-871b-2142f6a0dfdd,,"cDNA amplification set, containing multiple amplified_cDNA_names that were processed at the same time.",,,,,x,,,
barcoded cell sample port well,aca38100-d245-4be4-9be3-ba27192779fe,10x chip port well,Specific position of the loaded port of the 10x chip.  An Enriched or Dissociated Cell Sample is loaded into a port on a chip (creating a Barcoded Cell Sample).  Can be left null for non-10x methods.,,,,,x,,,
barcoded cell input quantity count,aa534269-7c9b-4b63-b990-eea8cda56d0e,,Number of enriched or dissociated cells/nuclei going into the barcoding process.,,,,,x,,,
barcoded cell sample label,4c0e6380-e53f-4173-a474-d41e836fefe3,barcoded cell sample name,Name of a collection of barcoded cells.  Input will be either dissociated_cell_sample or enriched_cell_sample.  Cell barcodes are only guaranteed to be unique within this one collection. One dissociated_cell_sample or enriched_cell_sample can lead to multiple barcoded_cell_samples.,,,,,x,,,
expected cell capture,f10e928d-5a2b-4943-af18-d8fe5d05528d,,"Expected number of cells/nuclei of a barcoded_cell_sample that will be barcoded and available for sequencing.  This is a derived number from 'Barcoded cell input quantity count' that is dependent on the ""capture rate"" of the barcoding method.  It is usually a calculated fraction of the 'Barcoded cell input quantity count' going into the barcoding method.",,,,,x,,,
study sets,8877f8f0-3939-4062-84c9-414bdcdd04ca,,Intended cohort or dataset that the Barcoded Cell Sample initially belongs to.  This Study helps to group together samples that are meant to be analyzed together.  Multiple Studies can be assigned to a Barcoded Cell Sample.  These studies are more granular than the grant or PI and can be used to group together samples from related ROIs.,,,,,x,,,
dissociated cell sample cell prep type,baae4ac3-f959-4594-b943-3a82ec19bd34,cell prep type,"The type of cell preparation. For example: Cells, Nuclei. This is a property of dissociated_cell_sample.",,,,,x,,,
dissociated cell sample label,65e2c7da-9eb4-45b2-8ccb-d69ef9785ee2,dissociated cell sample name,Name of a collection of dissociated cells or nuclei derived from dissociation of a tissue sample.,,,,,x,,,
dissociated cell source barcode name,184abbaf-baff-4b5f-b51e-dd38de6006af,,"Name of oligo used in cell plexing.  The oligo will tag allow separate dissociated cell samples to be combined downstream in the barcoded cell sample.  The oligo name is associated with a sequence in a lookup table.  This sequence will be needed to during analysis, after alignment, to associate reads with parent dissociated cell sample.",,,,,x,,,
dissociated cell source barcode name,0c8628d0-809b-458c-b4b3-686131dceef8,,"Name of oligo used in cell plexing.Ê The oligo will tag allow separate dissociated cell samples to be combined downstream in the barcoded cell sample.Ê The oligo name is associated with a sequence in a lookup table.Ê This sequence will be needed to during analysis, after alignment, to associate reads with parent dissociated cell sample.",,,,,x,,,
dissociated cell sample preparation date,c508b63d-a1b4-42de-9b22-9c4736deac6e,,Date of dissociated cell sample creation.,,,,,x,,,
